combine	dd	mar
019567_016056	10.727888742687503	8.140847669623456
019567_016057	10.96519451611346	7.104089301017382
019567_016058	10.656548980653495	8.17052177568249
019567_016532	11.153611150617513	6.941484102045749
019567_016533	11.088457734947887	6.941484102045749
019567_016534	10.974860672833124	6.941484102045749
019567_016535	10.911754564933249	6.941484102045749
019567_017091	12.692640482921643	6.941484102045749
019567_017092	12.552035370529758	6.941484102045749
019567_017093	12.585225392223071	6.941484102045749
019567_017894	9.13984233548822	6.941484102045749
019567_017895	9.109906982342716	6.941484102045749
019567_017951	9.020453103531446	6.941484102045749
019567_017952	9.020453103531446	6.941484102045749
019567_018966	9.584998645793123	6.941484102045749
019567_018967	9.536749900135074	6.941484102045749
019567_018968	9.661069660845225	6.941484102045749
019567_018969	9.661069660845225	6.941484102045749
019567_019118	10.895839647370783	6.941484102045749
019567_019524	9.551541486395205	6.941484102045749
019567_019525	9.517027785121567	6.941484102045749
019567_019547	9.333893859996131	6.941484102045749
019567_019548	9.294449629969115	6.941484102045749
019567_021773	8.486895880285921	6.941484102045749
019567_021838	8.667197837583629	6.941484102045749
019567_022664	8.317779855891155	6.941484102045749
019567_024237	8.419402846562374	6.941484102045749
019567_040046	24.29433966041347	17.17032967032967
019567_040047	21.675743742339332	20.57849520227769
019567_040048	21.675743742339332	20.57849520227769
019567_159501	10.219980313103042	6.941484102045749
019567_159509	11.011682358645302	6.941484102045749
019567_159513	9.585703007043604	6.941484102045749
019567_159632	11.4670519070822	6.941484102045749
019567_159659	11.09162736057506	6.941484102045749
019567_159660	11.189885755017361	6.941484102045749
019567_159696	10.163279232439205	6.941484102045749
019567_159941	8.332979897278541	41.029091568888354
019567_161130	18.375428249108356	11.324003796427007
019567_270042	22.490432720083017	17.183711221658378
019567_513100	8.296245169357265	53.201627093854974
019567_513110	11.567775565901188	6.941484102045749
019567_513290	9.465257233211107	6.941484102045749
019567_513300	12.17775240881898	8.195316349923939
019567_513390	11.378654570146653	6.941484102045749
019567_513870	10.302390579409487	6.941484102045749
511620_000055	14.875209153935975	17.388032894523022
511620_000834	17.62591198585943	14.393589171392204
511620_003722	14.440369509546072	14.483510152894684
511620_006479	12.823228416443433	10.76702212523633
511620_006480	12.648430256263993	14.273166690378622
511620_008971	7.964070300374796	6.674156366382795
511620_012870	8.468366268369518	9.163854503801447
511620_012871	8.05079867163862	9.852593095689729
511620_014978	8.795602758587702	7.552636076267662
511620_015299	8.766203610265016	7.639271235927499
511620_015300	8.710892157325631	7.652370816445309
511620_015518	8.255558002420429	8.873401790533528
511620_016055	8.964657768047534	6.674156366382795
511620_016056	8.719558998950166	7.327181078887541
511620_016057	8.906844792110888	6.674156366382795
511620_016058	8.66325643317797	7.356664717235086
511620_016532	9.055546436947928	6.674156366382795
511620_016533	9.004126242004281	6.674156366382795
511620_016534	8.914473489052908	6.674156366382795
511620_016535	8.864669064572684	6.674156366382795
511620_017091	10.27017482561683	6.674156366382795
511620_017092	10.15920685540441	6.674156366382795
511620_017093	10.18540099070973	6.674156366382795
511620_017894	7.4662454926896284	6.674156366382795
511620_017895	7.442619997715519	6.674156366382795
511620_017951	7.372021459792888	6.674156366382795
511620_017952	7.372021459792888	6.674156366382795
511620_018966	7.8175705003046145	6.674156366382795
511620_018967	7.779491761346345	6.674156366382795
511620_018968	7.877607052238822	6.674156366382795
511620_018969	7.877607052238822	6.674156366382795
511620_019118	8.852108738223507	6.674156366382795
511620_019524	7.791165535333551	6.674156366382795
511620_019525	7.763926729363401	6.674156366382795
511620_019547	7.619394289521794	6.674156366382795
511620_019548	7.5882642255559105	6.674156366382795
511620_021773	6.950928933009715	6.674156366382795
511620_021838	7.093226335190149	6.674156366382795
511620_022664	6.817459661244	6.674156366382795
511620_024237	6.897662271304656	6.674156366382795
511620_040046	20.255590460576204	16.837153871518094
511620_040047	18.09040411469542	20.256598168115055
511620_040048	18.09040411469542	20.256598168115055
511620_159501	8.318708940755421	6.674156366382795
511620_159509	8.943533796070682	6.674156366382795
511620_159513	7.818126394304005	6.674156366382795
511620_159632	9.302919266676835	6.674156366382795
